id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
794543958,0,53,M,1,mestrado,divorciado,$80K - $120K,blue,35,5,2,4,"34.516,40","1.590,14",27
716396358,0,52,M,2,mestrado,casado,$60K - $80K,blue,47,5,0,3,"3.085,37","1.531,13",35
715398033,0,53,M,2,ensino medio,solteiro,$120K +,blue,35,4,1,2,"19.040,89","1.212,09",31
711743883,0,43,F,3,sem educacao formal,solteiro,menos que $40K,blue,35,5,3,2,"4.026,73","1.237,00",32
719720058,0,44,M,3,ensino medio,solteiro,$60K - $80K,blue,31,4,1,3,"12.756,68","1.413,28",14
717539808,0,51,F,2,ensino medio,solteiro,menos que $40K,blue,36,3,2,2,"9.930,94","1.276,14",21
714070758,0,49,M,4,ensino medio,solteiro,$80K - $120K,blue,38,4,0,3,"31.302,28","1.564,29",35
714107958,0,45,M,1,mestrado,solteiro,$40K - $60K,blue,36,4,3,4,"6.576,08","1.465,89",34
789140283,0,53,M,0,mestrado,solteiro,$80K - $120K,blue,42,5,1,4,"2.664,65","1.286,10",29
719712633,0,64,M,1,mestrado,casado,menos que $40K,blue,52,6,3,4,"1.709,75","1.673,96",32
772629333,0,45,M,3,mestrado,casado,$40K - $60K,blue,35,5,2,4,"3.454,88","1.313,57",30
720336708,0,53,M,3,doutorado,casado,$40K - $60K,blue,35,5,2,3,"3.789,07","1.609,80",42
802013583,0,56,M,3,graduacao,casado,$120K +,blue,50,3,0,2,"9.689,42","1.158,65",19
779155158,0,53,M,3,mestrado,casado,$120K +,blue,34,6,2,2,"2.940,23","1.259,60",33
721091583,0,44,F,2,mestrado,solteiro,menos que $40K,blue,32,3,3,3,"3.031,74","1.298,42",15
716657058,0,43,F,4,doutorado,casado,menos que $40K,blue,33,2,3,3,"8.358,36","1.566,92",37
779509983,0,53,M,2,doutorado,solteiro,$120K +,blue,36,6,2,1,"34.516,70","1.022,13",21
717929133,0,44,M,1,sem educacao formal,casado,$60K - $80K,blue,36,5,3,2,"14.450,88","1.235,89",30
710916408,0,57,M,4,mestrado,casado,$60K - $80K,blue,39,4,0,3,"8.466,12","1.342,04",32
799825758,0,42,M,4,ensino medio,divorciado,$60K - $80K,blue,36,5,2,1,"3.263,41","1.251,05",35
718619883,0,54,F,0,sem educacao formal,casado,menos que $40K,blue,36,2,2,2,"1.494,38","1.305,99",24
711844758,0,48,M,3,mestrado,solteiro,$80K - $120K,blue,35,6,0,1,"13.551,14","1.388,92",37
714798783,0,49,M,1,mestrado,solteiro,$80K - $120K,blue,36,6,2,2,"18.886,97","1.235,27",18
771894558,0,50,M,3,ensino medio,solteiro,$80K - $120K,blue,39,4,4,1,"9.964,79","1.626,61",25
721074183,0,49,M,1,doutorado,casado,$60K - $80K,blue,36,4,3,6,"24.159,65","1.111,64",24
715259583,0,53,F,2,ensino medio,casado,menos que $40K,blue,44,3,3,2,"5.362,37","1.553,57",38
718414008,0,50,M,2,mestrado,solteiro,$120K +,blue,36,3,2,2,"34.516,18","1.064,06",13
719666283,0,55,F,1,doutorado,casado,menos que $40K,blue,36,4,0,1,"3.174,61","1.243,37",29
714877233,0,53,M,1,ensino medio,casado,$80K - $120K,blue,47,3,2,2,"12.262,61","1.659,27",38
785387883,0,47,F,3,ensino medio,solteiro,$40K - $60K,blue,41,4,3,3,"3.788,86","1.594,63",47
771075258,0,55,M,2,graduacao,solteiro,$120K +,silver,42,2,2,3,"34.516,86","1.268,11",42
711318033,0,47,M,3,mestrado,solteiro,$60K - $80K,blue,36,4,2,2,"2.926,27","1.304,88",24
783554958,0,58,M,4,mestrado,solteiro,$120K +,blue,52,6,0,1,"32.090,20","1.368,90",30
720201033,1,53,M,2,mestrado,casado,$80K - $120K,blue,41,3,2,3,"11.669,07","720,82",23
718039683,0,52,M,2,ensino medio,solteiro,$40K - $60K,blue,45,3,2,1,"13.532,53","1.521,78",29
714752208,0,42,F,1,mestrado,casado,menos que $40K,blue,36,5,2,1,"2.393,25","978,80",16
714490308,0,57,M,4,mestrado,casado,$80K - $120K,blue,46,3,3,2,"19.270,57","1.566,00",28
713356833,0,52,M,1,mestrado,casado,$80K - $120K,blue,43,3,4,1,"3.710,96","1.578,98",34
711402333,0,47,M,2,doutorado,solteiro,menos que $40K,blue,37,2,3,1,"3.235,89","1.493,12",32
708296883,0,44,F,3,mestrado,solteiro,$40K - $60K,blue,38,3,0,1,"11.749,97","1.178,37",27
719154483,0,53,M,2,ensino medio,divorciado,$60K - $80K,blue,36,5,2,3,"7.753,70","991,23",26
717721458,0,45,M,4,graduacao,divorciado,$60K - $80K,blue,40,5,0,1,"10.408,70","2.560,79",42
715674483,0,39,F,2,doutorado,solteiro,menos que $40K,blue,27,4,2,2,"6.205,29","1.204,63",19
789322833,1,48,F,5,ensino medio,casado,menos que $40K,blue,38,1,3,3,"8.025,36","673,64",18
709919283,0,54,M,4,mestrado,casado,$80K - $120K,blue,34,2,2,3,"14.926,65","1.576,74",25
718744008,0,59,F,1,mestrado,solteiro,menos que $40K,blue,36,3,3,2,"6.335,10","1.217,14",20
767712558,1,59,M,1,graduacao,solteiro,$60K - $80K,blue,53,2,3,3,"14.979,44","530,36",10
712950783,1,48,F,4,sem educacao formal,casado,menos que $40K,blue,38,3,3,2,"2.732,31","739,82",16
716104983,0,41,F,2,mestrado,solteiro,menos que $40K,blue,32,6,2,3,"2.250,44","1.617,31",31
818839983,0,55,M,2,mestrado,casado,$120K +,blue,50,3,0,2,"10.916,64","1.592,13",34
712350858,0,41,M,2,ensino medio,casado,$80K - $120K,blue,24,4,3,1,"9.366,58","1.303,63",39
711009708,0,40,M,3,ensino medio,solteiro,$80K - $120K,blue,28,5,0,1,"21.617,54","1.351,89",22
712215258,0,50,F,1,mestrado,solteiro,$40K - $60K,silver,31,2,3,2,"18.386,59","1.298,55",22
773827008,0,47,M,4,sem educacao formal,solteiro,$60K - $80K,blue,41,6,2,2,"2.405,01","1.087,22",29
795232683,0,53,F,1,graduacao,casado,menos que $40K,blue,47,4,3,2,"2.154,12","1.439,28",26
713539833,0,48,F,4,ensino medio,solteiro,$40K - $60K,blue,38,6,3,1,"8.135,26","1.716,18",29
712454058,0,49,M,1,doutorado,casado,$120K +,blue,38,6,3,1,"9.364,93","1.099,88",27
718803333,0,43,F,4,mestrado,divorciado,menos que $40K,blue,34,2,1,3,"3.195,43","1.285,54",29
720253908,0,56,M,0,ensino medio,casado,$80K - $120K,blue,43,5,1,2,"2.852,61","1.651,52",28
713187033,0,46,M,1,sem educacao formal,casado,$60K - $80K,blue,36,3,2,2,"20.459,84","1.767,95",38
772426383,0,50,F,4,sem educacao formal,casado,$40K - $60K,blue,40,5,3,2,"3.065,19","1.130,34",28
710975883,0,51,F,3,sem educacao formal,casado,menos que $40K,blue,43,3,2,1,"2.185,80","1.645,23",30
714264408,0,47,F,3,sem educacao formal,casado,menos que $40K,blue,36,4,0,1,"1.611,04","1.413,06",29
715827858,0,58,F,4,sem educacao formal,casado,menos que $40K,blue,47,3,3,3,"2.822,92","1.218,42",23
713741358,1,46,M,5,mestrado,solteiro,$80K - $120K,blue,33,6,3,3,"32.975,61","597,86",17
709531908,0,53,M,3,ensino medio,casado,$60K - $80K,blue,47,5,2,2,"1.438,57","2.184,83",53
714141108,0,52,F,1,ensino medio,casado,menos que $40K,blue,45,6,3,3,"6.703,28","1.388,72",28
712608783,0,50,M,2,ensino medio,casado,$80K - $120K,silver,45,3,3,1,"34.516,22","1.504,44",34
820353558,0,41,F,3,ensino medio,casado,$40K - $60K,blue,36,4,2,1,"9.797,65","1.503,16",34
714964758,0,45,F,5,mestrado,divorciado,$40K - $60K,blue,36,5,2,2,"10.400,82","1.105,44",28
716264358,0,53,M,3,sem educacao formal,casado,$80K - $120K,blue,42,2,2,1,"26.792,84","2.398,41",47
717296808,0,67,F,1,mestrado,casado,menos que $40K,blue,56,4,2,3,"3.006,00","1.661,15",32
712977183,0,57,F,2,sem educacao formal,solteiro,$40K - $60K,silver,36,6,0,3,"19.482,96","1.421,19",22
710829108,0,59,F,1,sem educacao formal,casado,$40K - $60K,blue,36,4,3,2,"3.356,53","999,47",28
779562633,0,45,M,2,sem educacao formal,casado,$40K - $60K,blue,34,3,1,2,"5.771,60","1.387,68",18
715315833,0,51,M,3,mestrado,casado,$80K - $120K,blue,36,6,3,2,"11.106,73","1.243,58",24
815500983,0,59,F,1,sem educacao formal,casado,menos que $40K,blue,54,5,0,3,"2.890,26","1.860,16",36
719360583,0,53,M,1,mestrado,casado,$60K - $80K,blue,45,6,2,2,"3.380,75","1.502,84",25
709701558,0,47,M,3,mestrado,casado,$60K - $80K,blue,36,2,2,1,"21.331,23","1.460,60",50
779862408,0,49,M,3,doutorado,solteiro,$80K - $120K,blue,33,3,0,1,"6.278,72","1.087,07",33
812627208,0,60,F,0,graduacao,solteiro,menos que $40K,blue,55,5,3,1,"1.439,00","1.226,43",33
711033408,0,50,F,2,ensino medio,casado,menos que $40K,blue,36,5,2,1,"9.355,72","1.230,97",28
780376683,0,57,M,1,mestrado,casado,$80K - $120K,blue,47,5,1,3,"14.612,54","1.827,87",24
714454758,0,57,F,3,mestrado,casado,menos que $40K,blue,47,4,3,2,"6.347,04","1.771,54",37
780466533,0,54,M,3,doutorado,casado,$120K +,blue,41,3,0,3,"21.592,49","1.873,76",52
715735233,0,51,F,5,doutorado,casado,menos que $40K,blue,44,5,1,1,"3.449,71","1.679,81",42
720476733,0,47,F,3,ensino medio,casado,menos que $40K,blue,34,2,2,1,"6.028,25","1.002,70",22
712375758,0,53,M,3,sem educacao formal,casado,$80K - $120K,blue,43,3,1,3,"16.393,47","1.461,96",42
708868233,1,68,M,0,ensino medio,casado,menos que $40K,blue,52,1,2,3,"1.438,72","760,47",21
718030083,0,59,M,1,graduacao,casado,$60K - $80K,blue,36,4,2,1,"7.871,30","1.428,62",22
771698658,0,44,M,5,mestrado,casado,$60K - $80K,blue,32,4,3,5,"11.376,03","1.302,61",27
748326258,0,48,M,3,graduacao,casado,$80K - $120K,blue,41,4,3,5,"12.302,46","1.483,60",41
770817783,0,47,M,4,mestrado,casado,$60K - $80K,silver,33,3,1,2,"34.516,23","1.060,78",27
779353083,0,47,M,2,mestrado,casado,$60K - $80K,silver,32,4,2,2,"34.516,11","1.330,44",32
711441333,0,43,F,1,ensino medio,divorciado,menos que $40K,silver,35,3,2,2,"10.514,17","1.229,20",27
719808558,1,55,F,2,mestrado,casado,menos que $40K,blue,43,2,3,4,"1.438,49","886,93",27
711551958,1,59,M,2,doutorado,casado,$60K - $80K,blue,46,3,3,3,"1.438,61","844,25",24
809164083,0,63,M,1,mestrado,casado,$40K - $60K,blue,56,2,2,1,"2.619,50","1.450,42",37
820596183,0,58,M,2,graduacao,casado,$120K +,blue,53,2,0,3,"24.407,22","2.311,68",48
715999608,0,53,F,2,ensino medio,casado,menos que $40K,blue,36,4,2,1,"2.377,87","1.378,54",26
805543158,0,52,M,3,mestrado,casado,$120K +,blue,47,5,3,3,"11.086,88","1.523,79",40
709752183,0,48,M,3,ensino medio,solteiro,$60K - $80K,blue,36,4,2,2,"11.432,33","1.374,92",37
716479233,0,43,M,4,ensino medio,casado,$40K - $60K,blue,36,5,2,3,"13.258,87","1.080,19",21
713837058,0,48,M,2,graduacao,solteiro,menos que $40K,blue,36,3,3,2,"2.571,08","1.234,81",24
718876683,0,43,F,4,mestrado,solteiro,menos que $40K,blue,31,5,0,2,"5.781,12","1.600,60",32
794843883,0,41,M,3,ensino medio,casado,$80K - $120K,blue,35,6,2,1,"34.516,35","1.353,80",33
803043933,0,44,F,3,sem educacao formal,divorciado,menos que $40K,silver,38,4,3,1,"11.127,32","1.546,08",25
714606558,0,60,F,1,sem educacao formal,casado,menos que $40K,blue,36,5,0,1,"1.913,52","1.448,98",22
778425408,0,44,M,4,mestrado,solteiro,$80K - $120K,blue,24,5,0,3,"3.839,33","1.271,61",24
714171108,0,48,F,3,mestrado,divorciado,$40K - $60K,blue,39,6,3,2,"2.115,68","1.223,72",20
719662458,0,44,F,2,mestrado,divorciado,menos que $40K,blue,27,5,2,2,"1.438,34","1.117,13",29
713137233,0,41,M,2,ensino medio,solteiro,$80K - $120K,blue,28,4,0,3,"27.756,93","994,10",24
769425858,0,45,M,3,graduacao,solteiro,$60K - $80K,blue,32,4,2,1,"1.438,92","1.468,30",26
711297483,0,47,F,2,sem educacao formal,divorciado,menos que $40K,silver,34,6,2,4,"13.878,33","1.658,13",38
788900883,0,51,F,2,mestrado,casado,menos que $40K,blue,36,3,3,1,"3.106,63","1.368,17",38
758348808,0,51,M,2,mestrado,casado,$120K +,blue,44,4,3,3,"34.516,68","1.218,41",18
772336458,1,60,F,1,sem educacao formal,casado,$40K - $60K,blue,50,4,3,4,"1.438,57","702,15",12
717906783,0,41,M,5,mestrado,solteiro,$120K +,blue,29,5,2,2,"5.207,73","1.310,79",26
719437908,0,44,M,3,doutorado,divorciado,$80K - $120K,blue,36,6,2,2,"17.965,69","1.767,49",50
769433508,0,43,M,1,graduacao,solteiro,$60K - $80K,blue,37,6,3,3,"2.733,26","933,05",25
790096533,0,55,M,2,graduacao,casado,$60K - $80K,blue,48,4,2,3,"8.863,91","1.512,98",27
720997383,1,52,M,1,sem educacao formal,casado,$80K - $120K,blue,36,2,3,3,"1.857,31","829,90",17
709930758,0,41,M,2,sem educacao formal,casado,$40K - $60K,blue,30,5,3,3,"11.107,94","1.506,36",33
710741208,0,39,M,2,ensino medio,solteiro,$80K - $120K,blue,36,4,2,2,"5.269,71","2.094,18",25
821797008,1,49,M,5,graduacao,casado,$40K - $60K,blue,45,2,3,2,"1.438,71","815,11",21
708874533,1,45,F,2,graduacao,casado,menos que $40K,blue,36,1,2,3,"3.387,36","510,16",24
715341858,0,54,M,2,mestrado,casado,$80K - $120K,blue,46,6,3,2,"1.982,76","1.377,75",49
793636308,0,49,M,3,sem educacao formal,solteiro,$80K - $120K,blue,43,2,2,2,"4.645,64","1.193,50",33
712125258,1,46,M,4,ensino medio,casado,$120K +,blue,30,3,3,3,"2.442,35","701,37",19
709703433,0,47,M,3,mestrado,casado,$60K - $80K,blue,38,4,2,1,"21.304,91","1.770,89",25
721022433,0,44,M,2,doutorado,solteiro,$60K - $80K,blue,36,5,2,1,"7.577,25","1.409,86",35
710103558,0,50,M,3,doutorado,solteiro,$120K +,blue,31,4,2,1,"3.234,67","1.354,89",28
715952883,0,73,M,0,ensino medio,casado,$40K - $60K,blue,36,5,2,3,"4.469,13","1.765,87",34
772390908,1,59,M,0,ensino medio,solteiro,$40K - $60K,blue,48,2,3,4,"3.616,78","687,81",17
787348608,0,70,M,0,ensino medio,casado,menos que $40K,blue,56,3,3,2,"3.252,00","1.227,27",15
709485033,0,55,F,2,ensino medio,casado,menos que $40K,blue,36,4,3,3,"2.358,65","1.737,67",26
799471833,0,45,M,1,sem educacao formal,solteiro,$120K +,blue,39,4,2,2,"3.133,64","1.435,15",38
714187533,0,45,F,2,sem educacao formal,solteiro,$40K - $60K,blue,35,2,0,3,"3.540,83","1.321,66",28
779656908,0,40,M,1,mestrado,casado,$40K - $60K,blue,23,6,2,3,"6.990,30","1.479,15",29
778867533,1,59,F,0,doutorado,casado,$40K - $60K,blue,40,1,1,4,"1.438,04","689,19",23
789483333,0,41,M,2,sem educacao formal,casado,$40K - $60K,blue,32,5,3,1,"5.214,54","1.258,13",23
809855808,0,51,F,2,mestrado,casado,menos que $40K,blue,46,5,2,2,"5.207,14","1.339,25",20
771809733,1,64,F,0,ensino medio,casado,$40K - $60K,blue,53,1,3,3,"3.353,71","960,89",18
719942883,0,54,M,5,mestrado,casado,$60K - $80K,blue,38,3,3,3,"2.290,00","1.119,88",18
717806133,0,40,M,2,sem educacao formal,divorciado,$60K - $80K,blue,29,5,0,3,"23.603,57","1.382,43",31
720615708,0,57,M,0,sem educacao formal,casado,$40K - $60K,blue,45,6,2,2,"2.601,63","1.232,15",32
714511758,0,45,M,4,mestrado,solteiro,$80K - $120K,blue,40,4,0,3,"6.363,60","1.542,87",16
715050408,0,41,M,3,ensino medio,solteiro,$80K - $120K,blue,36,4,3,3,"8.029,36","1.094,01",32
721132233,0,42,F,4,sem educacao formal,casado,menos que $40K,blue,31,2,2,2,"2.410,63","1.217,56",30
719211558,1,45,M,2,mestrado,solteiro,$60K - $80K,blue,36,1,2,1,"3.401,34","744,28",18
712069008,0,42,F,4,sem educacao formal,casado,menos que $40K,blue,23,4,0,2,"2.260,02","1.614,08",33
715996983,0,47,M,4,sem educacao formal,divorciado,$80K - $120K,blue,30,5,2,2,"17.682,03","1.747,49",31
773466258,0,48,F,4,ensino medio,casado,$40K - $60K,blue,42,3,3,1,"4.206,65","1.144,35",22
798983508,0,43,M,1,mestrado,solteiro,$80K - $120K,silver,37,4,2,3,"34.516,15","1.575,13",34
716451183,0,54,F,1,sem educacao formal,casado,$40K - $60K,blue,44,5,3,2,"5.556,64","1.706,57",21
715085733,0,61,M,0,mestrado,casado,$40K - $60K,blue,52,3,2,1,"2.939,87","2.434,79",33
788977833,0,61,M,0,sem educacao formal,casado,$80K - $120K,blue,48,2,0,1,"5.362,12","1.876,13",41
720272958,1,48,M,2,ensino medio,casado,$120K +,blue,36,3,3,3,"27.126,02","1.000,75",25
708421833,0,45,F,4,mestrado,solteiro,menos que $40K,blue,36,6,2,3,"3.342,44","1.139,19",30
715120608,0,44,M,3,mestrado,solteiro,$60K - $80K,blue,37,2,2,3,"14.546,36","1.273,10",27
779078733,0,55,M,2,doutorado,casado,$60K - $80K,blue,36,3,3,4,"16.427,37","1.579,45",36
720250158,0,45,M,2,graduacao,solteiro,$60K - $80K,blue,33,6,0,3,"23.218,54","1.749,28",37
716458983,0,60,M,0,ensino medio,casado,$40K - $60K,blue,36,5,3,1,"3.281,26","1.424,52",29
713747733,0,55,M,2,ensino medio,casado,$40K - $60K,blue,47,5,2,3,"3.096,03","2.011,99",41
712270158,0,62,F,0,ensino medio,casado,$40K - $60K,blue,52,5,3,2,"2.052,34","1.208,58",31
754897008,0,46,M,3,ensino medio,solteiro,$40K - $60K,blue,39,2,2,3,"9.432,64","1.319,74",26
819700533,0,50,M,0,ensino medio,solteiro,$120K +,silver,45,5,3,2,"14.938,19","949,70",27
712890408,0,45,M,2,sem educacao formal,casado,$60K - $80K,blue,36,5,2,3,"2.221,64","1.338,09",30
720248208,0,47,M,3,doutorado,divorciado,$60K - $80K,blue,37,6,0,3,"5.731,58","1.554,39",26
779749908,0,48,M,4,graduacao,casado,$60K - $80K,gold,33,2,3,2,"34.516,94","1.350,53",32
717401883,0,35,M,3,sem educacao formal,casado,$60K - $80K,blue,22,5,2,2,"6.985,17","1.694,63",44
721509558,0,51,M,2,mestrado,casado,$120K +,blue,42,3,0,3,"24.221,87","1.678,66",40
714576183,0,47,M,4,mestrado,solteiro,$80K - $120K,blue,36,6,2,3,"21.637,35","1.222,79",23
721425558,0,52,M,2,mestrado,solteiro,$120K +,blue,37,2,2,3,"14.543,72","1.536,56",37
711109908,0,43,F,4,sem educacao formal,casado,menos que $40K,blue,36,2,1,1,"9.684,93","1.400,29",31
715203108,0,63,M,2,ensino medio,casado,$40K - $60K,blue,36,2,2,2,"5.007,61","1.050,52",28
710027508,0,61,M,0,mestrado,casado,$60K - $80K,blue,54,3,0,2,"1.616,44","1.389,60",33
787464408,0,53,M,2,sem educacao formal,solteiro,$60K - $80K,blue,40,5,2,2,"19.116,74","1.184,30",29
783542133,0,53,F,3,mestrado,casado,menos que $40K,blue,47,5,2,6,"2.759,61","2.093,03",42
708330858,1,57,M,3,mestrado,casado,$120K +,blue,38,2,3,3,"8.249,68","678,76",11
712701333,0,53,M,3,ensino medio,casado,$60K - $80K,blue,43,5,2,3,"5.264,55","1.219,05",27
773373108,0,49,F,4,ensino medio,casado,menos que $40K,blue,43,4,0,2,"2.826,24","1.025,22",28
715812258,0,45,M,2,ensino medio,casado,$80K - $120K,blue,34,5,2,5,"12.518,07","1.165,97",33
778286433,0,67,M,0,mestrado,casado,$40K - $60K,blue,56,4,1,2,"5.876,90","2.133,40",55
789270033,0,48,M,3,mestrado,solteiro,$80K - $120K,silver,37,3,3,2,"34.516,45","1.122,25",13
711569433,0,51,F,2,sem educacao formal,divorciado,menos que $40K,blue,38,4,2,1,"9.648,60","1.083,67",22
720214833,0,52,M,2,ensino medio,solteiro,$80K - $120K,silver,40,3,3,3,"34.516,34","1.234,15",23
788194458,0,34,M,3,ensino medio,casado,$60K - $80K,blue,26,4,3,3,"3.265,81","1.843,56",35
720779733,0,56,M,1,sem educacao formal,casado,$120K +,blue,36,3,2,2,"6.041,10","1.747,65",49
717424458,0,44,F,2,doutorado,casado,menos que $40K,blue,36,3,2,3,"2.293,74","1.166,30",22
770590758,0,43,F,3,mestrado,solteiro,$40K - $60K,blue,29,5,0,2,"3.378,72","1.285,61",16
718490658,0,50,F,1,mestrado,solteiro,menos que $40K,blue,36,4,3,1,"5.012,65","1.142,42",28
711985833,0,38,F,4,sem educacao formal,solteiro,menos que $40K,blue,30,4,0,1,"2.569,10","1.190,87",46
708967608,0,53,F,1,mestrado,solteiro,menos que $40K,blue,45,3,2,1,"3.471,41","1.052,59",24
718505958,0,43,M,5,mestrado,divorciado,$120K +,silver,31,5,3,3,"34.516,45","1.628,24",38
